id,symbol,name,image_url,price,market_cap,volume,high_24h,low_24h,change_24h,price_change_percentage_24h
55.00,algo,Algorand,https://assets.coingecko.com/coins/images/4380/large/download.png?1696504978,0.13,1067054689.00,28563838.00,0.13,0.13,0.00,2.36,,,,,,,,,,,
56.00,stx,Stacks,https://assets.coingecko.com/coins/images/2069/large/Stacks_logo_full.png?1696503035,0.71,1012400846.00,49298012.00,0.72,0.63,0.06,9.90,,,,,,,,,,,
57.00,flow,Flow,https://assets.coingecko.com/coins/images/13446/large/5f6294c0c7a8cda55cb1c936_Flow_Wordmark.png?1696513210,0.66,978007174.00,20556357.00,0.67,0.63,0.01,1.62,,,,,,,,,,,
58.00,theta,Theta Network,https://assets.coingecko.com/coins/images/2538/large/theta-token-logo.png?1696503349,0.96,961970067.00,9688057.00,0.97,0.92,0.02,2.09,,,,,,,,,,,
59.00,tia,Celestia,https://assets.coingecko.com/coins/images/31967/large/tia.jpg?1696530772,6.26,913109451.00,178775835.00,6.48,5.53,0.45,7.71,,,,,,,,,,,
60.00,bsv,Bitcoin SV,https://assets.coingecko.com/coins/images/6799/large/BSV.png?1696507128,46.30,906058168.00,31860931.00,46.53,44.74,1.20,2.66,,,,,,,,,,,
61.00,axs,Axie Infinity,https://assets.coingecko.com/coins/images/13029/large/axie_infinity_logo.png?1696512817,6.78,896926570.00,138289598.00,7.01,6.42,0.01,0.10,,,,,,,,,,,
62.00,ftm,Fantom,https://assets.coingecko.com/coins/images/4001/large/Fantom_round.png?1696504642,0.32,895983933.00,81098201.00,0.32,0.29,0.03,9.17,,,,,,,,,,,
63.00,sand,The Sandbox,https://assets.coingecko.com/coins/images/12129/large/sandbox_logo.jpg?1696511971,0.42,870977224.00,86367496.00,0.42,0.39,0.01,3.61,,,,,,,,,,,
64.00,mana,Decentraland,https://assets.coingecko.com/coins/images/878/large/decentraland-mana.png?1696502010,0.44,814528426.00,93000287.00,0.44,0.42,0.01,2.00,,,,,,,,,,,
65.00,wbt,WhiteBIT Coin,https://assets.coingecko.com/coins/images/27045/large/wbt_token.png?1696526096,5.38,775924234.00,4309186.00,5.43,5.38,-0.04,-0.70,,,,,,,,,,,
66.00,fdusd,First Digital USD,https://assets.coingecko.com/coins/images/31079/large/firstfigital.jpeg?1696529912,1.00,774956634.00,226756573.00,1.00,0.99,0.00,0.05,,,,,,,,,,,
67.00,neo,NEO,https://assets.coingecko.com/coins/images/480/large/NEO_512_512.png?1696501735,10.89,769060938.00,33511317.00,10.97,10.51,0.24,2.30,,,,,,,,,,,
68.00,eos,EOS,https://assets.coingecko.com/coins/images/738/large/eos-eos-logo.png?1696501893,0.68,766978383.00,154796612.00,0.68,0.66,0.01,1.12,,,,,,,,,,,
69.00,bgb,Bitget Token,https://assets.coingecko.com/coins/images/11610/large/icon_colour.png?1696511504,0.55,764617798.00,25303950.00,0.55,0.52,0.01,1.83,,,,,,,,,,,
70.00,gala,GALA,https://assets.coingecko.com/coins/images/12493/large/GALA-COINGECKO.png?1696512310,0.03,752533286.00,1033503810.00,0.03,0.03,0.00,0.20,,,,,,,,,,,
71.00,kcs,KuCoin,https://assets.coingecko.com/coins/images/1047/large/sa9z79.png?1696502152,7.75,749114743.00,1045068.00,7.82,7.54,0.16,2.08,,,,,,,,,,,
72.00,kava,Kava,https://assets.coingecko.com/coins/images/9761/large/kava.png?1696509822,0.77,748094877.00,10762936.00,0.78,0.74,0.01,1.10,,,,,,,,,,,
73.00,mina,Mina Protocol,https://assets.coingecko.com/coins/images/15628/large/JM4_vQ34_400x400.png?1696515261,0.74,742851910.00,27058839.00,0.74,0.67,0.05,7.19,,,,,,,,,,,
74.00,xtz,Tezos,https://assets.coingecko.com/coins/images/976/large/Tezos-logo.png?1696502091,0.82,727947855.00,33016710.00,0.82,0.79,0.01,1.83,,,,,,,,,,,
75.00,usdd,USDD,https://assets.coingecko.com/coins/images/25380/large/UUSD.jpg?1696524513,1.00,725747218.00,8266805.00,1.01,0.99,0.00,0.49,,,,,,,,,,,
76.00,ilv,Illuvium,https://assets.coingecko.com/coins/images/14468/large/logo-200x200.png?1696514154,117.92,714708578.00,39379361.00,119.43,104.95,4.80,4.25,,,,,,,,,,,
77.00,xdc,XDC Network,https://assets.coingecko.com/coins/images/2912/large/xdc-icon.png?1696503661,0.05,677641276.00,15641625.00,0.05,0.05,0.00,-1.20,,,,,,,,,,,
78.00,lunc,Terra Luna Classic,https://assets.coingecko.com/coins/images/8284/large/01_LunaClassic_color.png?1696508486,0.00,670181251.00,260972036.00,0.00,0.00,0.00,13.76,,,,,,,,,,,
79.00,frax,Frax,https://assets.coingecko.com/coins/images/13422/large/FRAX_icon.png?1696513182,1.00,668715069.00,10315405.00,1.00,0.99,0.00,-0.08,,,,,,,,,,,
80.00,klay,Klaytn,https://assets.coingecko.com/coins/images/9672/large/klaytn.png?1696509742,0.20,659989277.00,11676623.00,0.20,0.19,0.00,0.45,,,,,,,,,,,
81.00,wemix,WEMIX,https://assets.coingecko.com/coins/images/12998/large/wemixcoin_color_200.png?1696512788,1.99,651047359.00,7355366.00,2.04,1.82,0.17,9.11,,,,,,,,,,,
82.00,pyth,Pyth Network,https://assets.coingecko.com/coins/images/31924/large/Pyth_Logomark_%281%29.png?1696530732,0.42,630838945.00,80361497.00,0.45,0.40,0.02,4.22,,,,,,,,,,,
83.00,frxeth,Frax Ether,https://assets.coingecko.com/coins/images/28284/large/frxETH_icon.png?1696527284,2054.88,609134979.00,2233164.00,2063.04,2003.77,45.24,2.25,,,,,,,,,,,
84.00,sui,Sui,https://assets.coingecko.com/coins/images/26375/large/sui_asset.jpeg?1696525453,0.62,596071633.00,96522702.00,0.63,0.57,0.03,5.62,,,,,,,,,,,
85.00,cheel,Cheelee,https://assets.coingecko.com/coins/images/28573/large/CHEEL_%D1%82%D0%BE%D0%BD%D0%BA%D0%B0%D1%8F_%D0%BE%D0%B1%D0%B2%D0%BE%D0%B4%D0%BA%D0%B0_%283%29.png?1696527561,11.05,593866742.00,3425169.00,11.19,10.54,0.49,4.60,,,,,,,,,,,
86.00,ape,ApeCoin,https://assets.coingecko.com/coins/images/24383/large/apecoin.jpg?1696523566,1.60,589765186.00,94497639.00,1.67,1.56,-0.02,-0.98,,,,,,,,,,,
87.00,blur,Blur,https://assets.coingecko.com/coins/images/28453/large/blur.png?1696527448,0.52,584237366.00,190033114.00,0.54,0.48,0.02,3.71,,,,,,,,,,,
88.00,tkx,Tokenize Xchange,https://assets.coingecko.com/coins/images/4984/large/TKX_-_Logo_-_RGB-15.png?1696505519,7.27,581805486.00,8336880.00,7.31,7.08,0.15,2.12,,,,,,,,,,,
89.00,ethdydx,dYdX,https://assets.coingecko.com/coins/images/17500/large/hjnIm9bV.jpg?1696517040,3.21,577991875.00,110930973.00,3.27,3.06,0.03,1.01,,,,,,,,,,,
90.00,gt,Gate,https://assets.coingecko.com/coins/images/8183/large/gate.png?1696508395,4.22,574715843.00,1197867.00,4.22,4.18,0.02,0.37,,,,,,,,,,,
91.00,xec,eCash,https://assets.coingecko.com/coins/images/16646/large/Logo_final-22.png?1696516207,0.00,566304850.00,3317746.00,0.00,0.00,0.00,2.22,,,,,,,,,,,
92.00,fet,Fetch.ai,https://assets.coingecko.com/coins/images/5681/large/Fetch.jpg?1696506140,0.54,558302164.00,111173742.00,0.54,0.49,0.03,5.36,,,,,,,,,,,
93.00,rpl,Rocket Pool,https://assets.coingecko.com/coins/images/2090/large/rocket_pool_%28RPL%29.png?1696503058,27.70,551789922.00,4493691.00,27.79,26.50,0.93,3.47,,,,,,,,,,,
94.00,gas,Gas,https://assets.coingecko.com/coins/images/858/large/GAS_512_512.png?1696501992,8.22,534789618.00,27501432.00,8.30,7.87,0.21,2.64,,,,,,,,,,,
95.00,cfx,Conflux,https://assets.coingecko.com/coins/images/13079/large/3vuYMbjN.png?1696512867,0.15,532093142.00,32661174.00,0.16,0.15,0.00,-0.40,,,,,,,,,,,
96.00,fxs,Frax Share,https://assets.coingecko.com/coins/images/13423/large/Frax_Shares_icon.png?1696513183,7.05,531585718.00,24117426.00,7.29,7.03,-0.16,-2.23,,,,,,,,,,,
97.00,cake,PancakeSwap,https://assets.coingecko.com/coins/images/12632/large/pancakeswap-cake-logo_%281%29.png?1696512440,2.25,523269042.00,63075789.00,2.28,2.15,0.08,3.48,,,,,,,,,,,
98.00,crv,Curve DAO,https://assets.coingecko.com/coins/images/12124/large/Curve.png?1696511967,0.56,521691037.00,69269311.00,0.57,0.55,0.01,1.65,,,,,,,,,,,
99.00,iota,IOTA,https://assets.coingecko.com/coins/images/692/large/IOTA_Swirl.png?1696501881,0.17,521676557.00,6062249.00,0.17,0.17,0.00,1.73,,,,,,,,,,,
100.00,xrd,Radix,https://assets.coingecko.com/coins/images/4374/large/Radix.png?1696504973,0.05,519008202.00,3563074.00,0.05,0.05,0.00,-1.10,,,,,,,,,,,
